method,phase_similarity,tag,word
ssh,0.6580310880829016,shared,invisible
ssh,1.0,a_only,remedies
ssh,0.7391304347826086,shared,conclude
ssh,0.1111111111111111,b_only,erskine
ssh,1.0,a_only,dominions
ssh,1.0,a_only,capita
ssh,1.0,a_only,bronze
ssh,0.8181818181818182,shared,sympathetic
ssh,0.4953271028037383,shared,whoever
ssh,1.0,a_only,tim
ssh,0.5384615384615384,shared,determine
ssh,0.7582417582417582,shared,bullets
ssh,0.29554655870445345,shared,quite
ssh,0.7777777777777778,shared,ex
ssh,1.0,a_only,contract
ssh,0.5094339622641509,shared,urged
ssh,1.0,a_only,algiers
ssh,1.0,a_only,nfl
ssh,0.7486338797814208,shared,architecture
ssh,1.0,a_only,additionally
ssh,0.3559322033898305,shared,double
ssh,0.5023474178403756,shared,poetry
ssh,1.0,a_only,structures
ssh,0.48148148148148145,shared,american
ssh,0.4349775784753363,shared,fairly
ssh,0.7297297297297297,shared,observations
ssh,1.0,a_only,oklahoma
ssh,0.09965635738831616,b_only,inquiries
ssh,0.4479638009049774,shared,journal
ssh,0.4611872146118721,shared,wore
ssh,0.6326530612244898,shared,tax
ssh,0.7777777777777778,shared,shepherd
ssh,0.797752808988764,shared,transactions
ssh,0.3168724279835391,shared,business
ssh,1.0,a_only,amber
ssh,0.29554655870445345,shared,than
ssh,1.0,a_only,astronauts
ssh,0.5094339622641509,shared,response
ssh,0.5384615384615384,shared,northern
ssh,0.415929203539823,shared,boxes
ssh,0.46788990825688076,shared,vampire
ssh,0.3445378151260504,shared,horror
ssh,1.0,a_only,academic
ssh,0.7486338797814208,shared,handwriting
ssh,1.0,a_only,measurement
ssh,1.0,a_only,codes
ssh,0.0847457627118644,b_only,haired
ssh,0.5686274509803921,shared,discussion
ssh,0.2903225806451613,shared,home
ssh,1.0,a_only,colored
ssh,1.0,a_only,republicans
ssh,0.09215017064846416,b_only,10
ssh,1.0,a_only,confederate
ssh,0.10344827586206896,b_only,dripping
ssh,0.6494845360824743,shared,numbers
ssh,0.2698412698412698,shared,wrong
ssh,1.0,a_only,fischer
ssh,0.8285714285714286,shared,perception
ssh,1.0,a_only,shah
ssh,0.32231404958677684,shared,written
ssh,1.0,a_only,width
ssh,1.0,a_only,artemis
ssh,1.0,a_only,atheistic
ssh,1.0,a_only,mol
