method,phase_similarity,tag,word
ssh,0.5311004784688995,shared,hero
ssh,0.6080402010050251,shared,crop
ssh,0.3008130081300813,shared,brought
ssh,0.21673003802281368,b_only,shawl
ssh,0.1678832116788321,b_only,hain
ssh,1.0,a_only,illustrated
ssh,0.20300751879699247,b_only,invite
ssh,1.0,a_only,minority
ssh,1.0,a_only,doubleday
ssh,0.2903225806451613,shared,possible
ssh,1.0,a_only,macedonian
ssh,0.20300751879699247,b_only,pallor
ssh,0.2698412698412698,shared,walk
ssh,0.6161616161616161,shared,spreading
ssh,1.0,a_only,lands
ssh,0.6326530612244898,shared,earn
ssh,0.3168724279835391,shared,turning
ssh,1.0,a_only,eukaryotes
ssh,0.5023474178403756,shared,occur
ssh,0.6580310880829016,shared,burnt
ssh,0.1895910780669145,b_only,openshaw
ssh,0.7112299465240641,shared,pitch
ssh,1.0,a_only,donate
ssh,0.6666666666666666,shared,switzerland
ssh,0.20300751879699247,b_only,precaution
ssh,1.0,a_only,scotia
ssh,1.0,a_only,maintaining
ssh,0.6931216931216931,shared,wider
ssh,1.0,a_only,squealer
ssh,0.7582417582417582,shared,peak
ssh,0.48148148148148145,shared,owns
ssh,0.4222222222222222,shared,job
ssh,0.797752808988764,shared,courier
ssh,0.5165876777251185,shared,restored
ssh,0.7391304347826086,shared,spider
ssh,0.3333333333333333,shared,uncle
ssh,0.7112299465240641,shared,threats
ssh,0.5533980582524272,shared,impressed
ssh,1.0,a_only,robots
ssh,0.807909604519774,shared,wheeler
ssh,0.17647058823529413,shared,now
ssh,0.19402985074626866,b_only,pleasantly
ssh,0.7204301075268817,shared,whereas
ssh,0.6580310880829016,shared,ernest
ssh,1.0,a_only,iranian
ssh,1.0,a_only,atheistic
ssh,1.0,a_only,hellenistic
ssh,0.3389121338912134,shared,cross
ssh,0.6931216931216931,shared,fraud
ssh,0.6580310880829016,shared,pine
ssh,1.0,a_only,mystical
ssh,0.0958904109589041,b_only,hurried
ssh,0.8604651162790697,shared,struggles
ssh,0.350210970464135,shared,address
ssh,1.0,a_only,coalition
ssh,0.5763546798029556,shared,spelling
ssh,0.5763546798029556,shared,undoubtedly
ssh,0.5458937198067633,shared,bodies
ssh,0.08843537414965986,b_only,shirt
ssh,0.6842105263157895,shared,unwilling
ssh,1.0,a_only,criteria
ssh,0.17647058823529413,b_only,coldly
ssh,0.5686274509803921,shared,firmly
ssh,0.14285714285714285,b_only,floated
ssh,0.6161616161616161,shared,exposed
ssh,0.10726643598615918,b_only,careless
ssh,0.675392670157068,shared,attractions
ssh,0.23552123552123552,b_only,grasped
ssh,0.1552346570397112,b_only,instinctively
ssh,0.4953271028037383,shared,escaped
ssh,1.0,a_only,catalan
ssh,0.3389121338912134,shared,duchess
ssh,1.0,a_only,ataxia
ssh,0.4883720930232558,shared,east
ssh,0.2698412698412698,shared,life
ssh,0.7112299465240641,shared,depth
ssh,1.0,a_only,tv
ssh,0.3852813852813853,shared,chain
ssh,0.4349775784753363,shared,chose
ssh,1.0,a_only,fertilizer
ssh,0.11888111888111888,b_only,comprehend
ssh,0.8181818181818182,shared,welfare
ssh,1.0,a_only,fiber
ssh,0.6666666666666666,shared,pearls
ssh,0.2260536398467433,b_only,abreast
ssh,0.5458937198067633,shared,minded
ssh,0.6931216931216931,shared,offers
ssh,0.7112299465240641,shared,ass
ssh,1.0,a_only,almond
ssh,1.0,a_only,hu
ssh,0.7391304347826086,shared,plant
ssh,1.0,a_only,males
ssh,0.4349775784753363,shared,nation
ssh,1.0,a_only,audiences
ssh,0.5311004784688995,shared,ending
ssh,0.5165876777251185,shared,victim
ssh,1.0,a_only,characterized
ssh,0.7112299465240641,shared,rugged
ssh,1.0,a_only,marketing
ssh,0.5763546798029556,shared,seize
ssh,0.5920398009950248,shared,desert
ssh,0.4349775784753363,shared,fellows
ssh,0.8181818181818182,shared,presentation
ssh,0.2648221343873518,shared,does
ssh,0.6494845360824743,shared,allowing
ssh,0.7297297297297297,shared,kills
ssh,1.0,a_only,allan
ssh,0.1895910780669145,b_only,whispering
ssh,0.19850187265917604,b_only,doubtful
ssh,1.0,a_only,loyalists
ssh,0.415929203539823,shared,failed
ssh,0.4479638009049774,shared,fully
ssh,1.0,a_only,tribute
ssh,0.7021276595744681,shared,specially
ssh,0.8713450292397661,shared,skies
ssh,0.6931216931216931,shared,punished
ssh,0.2749003984063745,shared,met
ssh,0.19850187265917604,b_only,recollections
ssh,0.3389121338912134,shared,doesn
ssh,1.0,a_only,reconstruction
ssh,1.0,a_only,transformation
ssh,0.30612244897959184,shared,dress
ssh,0.07023411371237458,b_only,dozen
ssh,1.0,a_only,links
ssh,0.7582417582417582,shared,reliance
ssh,0.40350877192982454,shared,ignorant
ssh,0.3008130081300813,shared,trust
ssh,0.5841584158415841,shared,humanity
ssh,0.6,shared,succession
ssh,1.0,a_only,geology
ssh,0.3559322033898305,shared,coach
ssh,0.675392670157068,shared,diamond
ssh,0.4953271028037383,shared,brighton
ssh,1.0,a_only,parliamentary
ssh,0.5458937198067633,shared,w
ssh,0.7777777777777778,shared,fee
ssh,0.39737991266375544,shared,dollars
ssh,1.0,a_only,easter
ssh,0.3333333333333333,shared,wishes
ssh,0.19850187265917604,b_only,gladness
ssh,0.5238095238095238,shared,ends
ssh,0.1267605633802817,b_only,brass
ssh,1.0,a_only,criticism
ssh,1.0,a_only,chloroplasts
ssh,0.3852813852813853,shared,hare
ssh,1.0,a_only,verbal
ssh,1.0,a_only,currently
ssh,1.0,a_only,navy
ssh,1.0,a_only,engineers
ssh,1.0,a_only,albrecht
ssh,0.40969162995594716,shared,reward
ssh,1.0,a_only,technology
ssh,0.42857142857142855,shared,vengeance
ssh,0.2698412698412698,shared,much
ssh,0.2698412698412698,shared,make
ssh,1.0,a_only,halley
ssh,0.7582417582417582,shared,sympathetic
ssh,0.19402985074626866,b_only,bastille
ssh,0.7297297297297297,shared,grandfather
ssh,0.19402985074626866,b_only,tweedledum
ssh,0.30612244897959184,shared,himself
ssh,1.0,a_only,dan
ssh,0.6494845360824743,shared,islands
ssh,1.0,a_only,syriac
ssh,0.2903225806451613,shared,man
ssh,0.46788990825688076,shared,modern
ssh,0.09965635738831616,b_only,knowed
ssh,0.20300751879699247,shared,come
ssh,0.5311004784688995,shared,everywhere
ssh,1.0,a_only,arslan
ssh,0.2903225806451613,shared,hour
ssh,0.24031007751937986,b_only,vile
ssh,0.19402985074626866,b_only,chained
ssh,0.09215017064846416,b_only,attentions
ssh,0.24031007751937986,b_only,motionless
ssh,0.7297297297297297,shared,cautious
ssh,0.07744107744107744,b_only,pirates
ssh,0.7391304347826086,shared,stationed
ssh,0.4883720930232558,shared,recall
ssh,0.29554655870445345,shared,hair
ssh,1.0,a_only,linguistics
ssh,1.0,a_only,validity
ssh,1.0,a_only,robot
ssh,0.7391304347826086,shared,eighteenth
ssh,0.14285714285714285,shared,me
ssh,1.0,a_only,protests
ssh,1.0,a_only,jungle
