method,phase_similarity,tag,word
word2vec,0.8802299499511719,shared,called
word2vec,0.9721707105636597,shared,gate
word2vec,0.8950110077857971,shared,lips
word2vec,1.0,a_only,constantine
word2vec,1.0,a_only,antigua
word2vec,1.0,neither,rhus
word2vec,0.9999998807907104,neither,smithsonian
word2vec,1.0,neither,ether
word2vec,0.9999999403953552,neither,implications
word2vec,0.1004519984126091,neither,sycamore
word2vec,0.975012481212616,shared,describe
word2vec,1.0,neither,shark
word2vec,1.0,neither,parentheses
word2vec,0.9833506345748901,shared,trip
word2vec,0.9963262677192688,shared,labor
word2vec,0.9878066778182983,shared,lighting
word2vec,0.9849475026130676,shared,inn
word2vec,0.997009813785553,shared,bounds
word2vec,1.0,neither,repealed
word2vec,0.9999999403953552,neither,hring
word2vec,1.0,neither,rigorously
word2vec,0.1867326945066452,b_only,feverish
word2vec,0.9737482666969299,shared,awkward
word2vec,1.0,neither,vw
word2vec,1.0,neither,murphy
word2vec,0.9644249081611633,shared,lonely
word2vec,0.013226840645074844,neither,hire
word2vec,1.0000001192092896,a_only,mathbb
word2vec,0.99741530418396,shared,per
word2vec,0.998242199420929,shared,groups
word2vec,0.9999998807907104,a_only,gaul
word2vec,1.0000001192092896,a_only,arid
word2vec,1.0,neither,pbs
word2vec,0.9578273296356201,shared,wings
word2vec,0.9984778761863708,shared,earned
word2vec,0.9871487617492676,shared,insisted
word2vec,1.0,neither,photon
word2vec,0.9999999403953552,neither,judith
word2vec,0.3024188280105591,neither,fruitless
word2vec,1.0,a_only,levels
word2vec,1.0,neither,sadler
word2vec,1.0,neither,tubing
word2vec,0.9990485906600952,shared,questionable
word2vec,1.0,a_only,publications
word2vec,0.11352018266916275,neither,patting
word2vec,-0.08378062397241592,neither,fasten
word2vec,-0.08977887779474258,neither,fling
word2vec,0.050047505646944046,b_only,narborough
word2vec,1.0,a_only,operator
word2vec,0.06574026495218277,b_only,relapse
word2vec,-0.1199185848236084,b_only,extinguished
word2vec,0.9582552909851074,shared,party
word2vec,-0.04083162173628807,b_only,flames
word2vec,-0.1256057620048523,neither,legged
word2vec,1.0000001192092896,neither,malls
word2vec,0.2867403030395508,neither,bows
word2vec,0.04976864904165268,neither,parlor
word2vec,0.9999999403953552,neither,consular
word2vec,0.9999999403953552,a_only,origins
word2vec,1.0000001192092896,a_only,saul
word2vec,0.991012454032898,shared,resource
word2vec,1.0,neither,jointly
word2vec,0.18338406085968018,neither,furtive
word2vec,1.0,a_only,spaceflight
word2vec,0.22349503636360168,neither,mullins
word2vec,0.8459294438362122,shared,eyes
word2vec,1.0000001192092896,a_only,howe
word2vec,1.0,neither,viable
word2vec,1.0000001192092896,a_only,corporate
word2vec,0.9859567880630493,shared,sailors
word2vec,0.9999999403953552,neither,benin
word2vec,1.0000001192092896,a_only,aleutian
word2vec,0.9906370639801025,shared,negro
word2vec,1.0000001192092896,a_only,cabinda
word2vec,1.0,neither,ebionites
word2vec,1.0,neither,rehabilitation
word2vec,0.9999999403953552,a_only,municipal
word2vec,1.0000001192092896,neither,rainy
word2vec,0.9874938130378723,shared,vi
word2vec,0.9758293032646179,shared,lately
word2vec,0.02587488852441311,neither,unclean
word2vec,0.8632792234420776,shared,use
word2vec,1.0000001192092896,a_only,histories
word2vec,0.8635819554328918,shared,mine
word2vec,1.0000001192092896,neither,trinitarian
word2vec,1.0,neither,impacted
word2vec,0.9999999403953552,a_only,demonstrated
word2vec,1.0000001192092896,neither,loan
word2vec,-0.16293098032474518,neither,foremost
word2vec,0.9818694591522217,shared,according
word2vec,0.15677089989185333,neither,lynch
word2vec,0.9812507033348083,shared,robin
word2vec,-0.22300896048545837,neither,embers
word2vec,0.23929771780967712,b_only,cussing
word2vec,0.06629939377307892,b_only,pleasantly
word2vec,1.0,a_only,monk
word2vec,1.0,a_only,anthropologists
word2vec,0.9999999403953552,a_only,woolfson
word2vec,0.1756182461977005,neither,mustard
word2vec,1.0,a_only,pod
word2vec,0.11553539335727692,b_only,lock
word2vec,1.0,neither,overwhelmingly
word2vec,1.0,neither,paranormal
word2vec,1.0000001192092896,a_only,zones
word2vec,1.0000001192092896,neither,lombard
word2vec,0.9999998807907104,neither,retour
word2vec,0.9919368028640747,shared,satan
word2vec,0.994966447353363,shared,protested
word2vec,0.9870615005493164,shared,ann
word2vec,0.9881015419960022,shared,greedy
word2vec,0.10587627440690994,neither,purport
word2vec,1.0,a_only,explorer
word2vec,1.0,neither,inexpensive
