method,phase_similarity,tag,word
ssh,0.5238095238095238,shared,moreover
ssh,1.0,a_only,theism
ssh,0.4479638009049774,shared,apart
ssh,0.4883720930232558,shared,serve
ssh,0.5686274509803921,shared,fearing
ssh,0.6666666666666666,shared,avoided
ssh,0.6,shared,divine
ssh,0.6842105263157895,shared,bonds
ssh,1.0,a_only,bishops
ssh,1.0,a_only,alberta
ssh,0.10344827586206896,b_only,faults
ssh,1.0,a_only,standards
ssh,0.7391304347826086,shared,hostile
ssh,0.10726643598615918,b_only,dining
ssh,0.6666666666666666,shared,mid
ssh,1.0,a_only,distribution
ssh,0.09215017064846416,b_only,shoved
ssh,0.39737991266375544,shared,terms
ssh,0.7204301075268817,shared,coins
ssh,0.3793103448275862,shared,part
ssh,1.0,a_only,choir
ssh,0.5311004784688995,shared,fourteen
ssh,0.6666666666666666,shared,originated
ssh,0.3617021276595745,shared,marked
ssh,1.0,a_only,hermann
ssh,0.48148148148148145,shared,loves
ssh,0.1111111111111111,b_only,sticking
ssh,0.46788990825688076,shared,crossed
ssh,1.0,a_only,qquad
ssh,1.0,a_only,published
ssh,0.7391304347826086,shared,purchased
ssh,1.0,a_only,touring
ssh,0.6666666666666666,shared,beer
ssh,1.0,a_only,costs
ssh,1.0,a_only,molecules
ssh,0.391304347826087,shared,recovered
ssh,1.0,a_only,touchdown
ssh,0.08108108108108109,b_only,hey
ssh,0.3793103448275862,shared,butter
ssh,0.675392670157068,shared,ships
ssh,0.40969162995594716,shared,readily
ssh,1.0,a_only,colonial
ssh,0.6243654822335025,shared,bid
ssh,1.0,a_only,bangladesh
ssh,0.37339055793991416,shared,idea
ssh,1.0,a_only,eurovision
ssh,1.0,a_only,sporting
ssh,1.0,a_only,mcclellan
ssh,0.5686274509803921,shared,recovering
ssh,0.7486338797814208,shared,uses
ssh,0.4222222222222222,shared,bust
ssh,0.0958904109589041,b_only,indebted
ssh,1.0,a_only,anthony
ssh,0.415929203539823,shared,ideas
ssh,0.0847457627118644,b_only,regret
ssh,0.7486338797814208,shared,dependent
ssh,1.0,a_only,helicopters
ssh,1.0,a_only,dakota
ssh,1.0,a_only,apostles
ssh,0.11888111888111888,b_only,ringing
ssh,1.0,a_only,links
ssh,0.350210970464135,shared,people
ssh,0.3389121338912134,shared,call
ssh,0.3168724279835391,shared,himself
ssh,1.0,a_only,hiv
ssh,0.3852813852813853,shared,watch
